Nan,Data
1,0.129690573
1,0.557362605
1,0.077436771
1,0.089495
1,0.105412969
1,0.072971146
1,0.002127135
1,0.008067031
1,0.012657135
1,0.214820573
1,0.078770469
1,0.273361094
1,-0.045546302
1,0.004554688
1,0.013165208
1,0.167475521
1,0.075645208
1,-0.046296719
1,0.172618021
1,0.073364583
1,0.179935312
1,0.051530521
1,-0.020140781
1,0.230086354
1,0.08412151
1,-0.00053526
1,0.127008698
1,0.023709115
1,0.088667865
1,0.047620156
1,0.001631198
1,-0.003338021
1,0.007012396
1,-0.006830677
1,-0.00013224
1,0.090366771
1,0.003849219
1,-0.012581146
1,0.07056276
1,-0.015479531
1,0.354620052
1,0.179287865
1,0.007074531
1,0.019717083
1,0.011352708
1,0.256518021
1,-0.010523437
1,-0.00289724
1,0.167796094
1,0.107213073
1,0.334823229
1,0.000279844
1,0.180769635
1,0.039600208
1,0.148056042
1,-0.010289896
1,0.184766771
1,0.016753281
1,0.065062708
1,0.178044479
1,0.015354323
1,0.041327604
1,0.067100729
1,0.012536719
1,0.019841875
1,0.1557225
1,0.120114479
1,0.015095677
1,-0.001931563
1,0.038147969
1,-0.009202813
1,-0.011196198
1,0.163248229
1,0.09001151
1,0.006756927
1,0.456904532
1,-0.006505
1,0.085662188
1,0.24282573
1,0.003905521
1,0.096400885
1,0.032336458
1,0.016159167
1,0.001077135
1,-0.007714219
1,-0.017177865
1,0.13544526
1,0.063497917
1,0.44033823
1,0.044843333
1,0.076260781
1,-0.023147083
1,0.05082099
1,0.011162656
1,-0.036701615
1,0.091296042
1,0.104848333
1,0.12783026
1,-0.01103276
1,-0.000874531
1,0.126316042
1,0.144223906
1,-0.005241302
1,0.002504167
1,0.004720521
1,0.018095885
1,0.006806563
1,0.013464063
1,-0.008960417
1,0.112425365
1,-0.003036094
1,0.623794167
1,0.052651406
1,-0.002845885
1,0.009464323
1,0.155333646
1,-0.00906401
1,0.006282083
1,0.01360776
1,0.001381146
1,0.117260104
1,0.003381563
1,0.136010521
1,0.002865208
1,-0.027686771
1,-0.006078698
1,0.071546615
1,0.011903437
1,0.258491354
1,0.011609063
1,0.022532865
1,0.115949115
1,0.229047083
1,0.143221094
1,0.061627917
1,-0.01985474
1,0.018657188
1,-0.00320125
1,-0.016924115
1,0.007081615
1,-0.012241823
1,0.007891719
1,-0.000486146
1,-0.017033646
1,0.078839479
1,0.016665625
1,0.01982776
1,0.01659625
1,0.067882396
1,0.09429349
1,-0.013897656
1,0.240920104
1,0.313135885
1,0.113769688
1,-0.003763906
1,0.211995781
1,0.023966719
1,0.002505312
1,-0.015861719
1,0.188630208
1,0.087825729
1,0.020000052
1,0.025729792
1,0.407760834
1,-0.00309
1,0.00749401
1,-0.024706979
1,0.014559167
1,0.266404479
1,-0.00060349
1,0.084141042
1,0.021780156
1,0.148573125
1,0.185881823
1,0.246500729
1,0.175813906
1,0.155059531
1,0.003343073
1,0.078389375
1,-0.011388958
1,0.115252552
1,0.117285156
1,-0.000715937
1,0.011140156
1,0.224238073
1,0.085136198
1,0.079657656
1,0.002340469
1,0.375548959
1,0.017836042
1,0.038081875
1,0.001376719
1,0.246965625
1,0.020293385
1,0.124724219
1,0.083373333
1,0.075496771
1,0.139271094
1,0.064178073
1,0.224013333
1,0.064959896
1,0.005601667
1,0.020576667
1,0.194990938
1,-0.006868542
1,0.06953974
1,0.283377656
1,-0.002491406
1,0.045069583
1,-0.013334583
1,0.025526615
1,-0.01043375
1,0.026685104
1,-0.001545729
1,0.044065938
1,0.008721927
1,0.056465885
1,0.07002724
1,0.163581719
1,0.083413594
1,0.0991625
1,0.069413906
1,-0.007646406
1,0.102342031
1,-0.014957708
1,0.278997292
1,0.001439479
1,0.225988333
1,0.179815313
1,0.015668229
1,0.066637604
1,-0.001289635
1,0.101896823
1,-0.015507083
1,0.115815938
1,0.110852656
1,0.006677031
1,0.001349219
1,0.216222865
1,0.098801979
1,0.077659635
1,0.159470938
1,0.065356823
1,-0.002351875
1,0.13839401
1,0.394175052
1,0.035739479
1,0.140026406
1,0.012338333
1,0.030504635
1,-0.00648349
1,0.079834948
1,0.015081563
1,0.02127651
1,0.128810833
1,0.101378385
1,0.064659323
1,0.119946615
1,-0.008149063
1,0.076342083
1,0.041063698
1,0.115878906
1,0.157318125
1,0.254791198
1,0.033917396
1,-0.013485833
1,0.002186198
1,-0.006022708
1,-0.00213849
1,0.227573073
1,0.002042969
1,0.130042135
1,0.063436146
1,-0.011447552
1,0.00268526
1,0.163834219
1,0.134814063
1,0.108116302
1,0.08477349
1,-0.002095625
1,0.23378849
1,0.168229323
1,0.001059687
1,0.030339792
1,0.14832724
1,-0.005288229
1,0.015198281
1,0.321627396
1,0.200922552
1,0.240005833
1,-0.005461146
1,0.075313125
1,-0.009095938
1,0.140078021
1,0.173565469
1,-0.002485104
1,0.01121974
1,0.161644427
1,0.105309792
1,0.004352344
1,-0.007587448
1,0.150235521
1,-0.009044948
1,0.243901042
1,0.068453021
1,0.043054687
1,0.126649896
1,0.151871458
1,0.006120625
1,0.36797349
1,0.004885313
1,-0.0130575
1,0.090485417
1,0.158231771
1,0.000229948
1,0.123953125
1,0.007045521
1,0.035726563
1,0.142559427
1,0.03569625
1,-0.003049219
1,0.12635901
1,0.053441406
1,0.197128229
1,0.013367292
1,0.299120417
1,0.121767344
1,0.002027969
1,0.034138958
1,0.003421979
1,0.09787875
1,-0.01994349
1,0.123520938
1,0.025892187
1,0.006678542
1,0.047890104
1,0.067504844
1,0.007877396
1,0.002083594
1,0.019649948
1,0.017500677
1,0.02939849
1,0.008554635
1,0.126736823
1,0.374511927
1,0.099950781
1,0.09681724
1,0.255006667
1,0.129350833
1,0.084590417
1,0.160860313
1,0.064785938
1,-0.004341979
1,0.183303542
1,0.119367865
1,-0.003275677
1,0.017212604
1,0.002366198
1,0.197146146
1,0.001180156
1,0.136243958
1,-0.023839531
1,0.045657031
1,0.149952135
1,0.120956146
1,0.001421458
1,0.165861719
1,0.017686771
1,0.055129062
1,0.00051401
1,0.084201458
1,0.02764776
1,0.147470417
1,0.124606354
1,0.094234167
1,0.004046667
1,0.125836354
1,0.059827917
1,0.004931458
1,0.04837875
1,0.003248542
1,0.000272917
1,0.080204896
1,0.012048906
1,0.06763151
1,0.210297031
1,0.047393073
1,0.026342552
1,0.066862448
1,-0.000311979
1,0.044023802
1,0.076563802
1,-0.003750417
1,-0.000536354
1,0.174722083
1,0.002351406
1,0.229179427
1,0.291447084
