,1
289,-0.00010703125
290,-0.0002125
291,-0.00030078125
292,-0.00015703125
293,0.00011484375
294,7.890625e-05
295,-1.5625e-06
296,0.00015859375
297,0.0005
298,0.00028828125
299,0.00040078125
300,0.00030078125
301,0.00039921875
302,0.0001953125
303,0.0002
304,-0.00021328125
305,-0.00028984375
306,-0.0005
307,-1.796875e-05
308,-8.671875e-05
309,-0.0002203125
310,-1.640625e-05
311,8.4375e-05
312,0.0002484375
313,0.00045
314,0.0001203125
315,0.00028359375
316,0.0001171875
317,0.0002
318,9.375e-06
319,0.0002453125
320,0.00040390625
321,0.00031875
322,4.140625e-05
323,-0.000453125
324,-0.00069296875
325,-0.0007046875
326,-0.00051640625
327,-1.5625e-06
328,-0.00029375
329,-9.921875e-05
330,-0.00038515625
331,-0.00014140625
332,0.0002
333,0.00010078125
334,0.000109375
335,-0.00029375
336,-0.0002
337,-0.00049375
338,-0.00028203125
339,7.65625e-05
340,0.00029921875
341,-9.21875e-05
342,-0.00029921875
343,-0.000196875
344,-9.140625e-05
345,0.0001015625
346,9.140625e-05
347,-0.0003046875
348,-0.00027265625
349,0.00010234375
350,-7.8125e-06
351,-0.00010234375
352,-0.00033828125
353,-0.00070078125
354,-0.000365625
355,-0.00020390625
356,2.34375e-06
357,-7.8125e-07
358,0.00020703125
359,0.0001
360,9.6875e-05
361,-0.00026640625
362,-0.0007015625
363,-0.00070390625
364,-0.00048828125
365,-9.375e-06
366,-6.25e-06
367,-0.0001859375
368,-0.00029921875
369,-0.00029921875
370,-0.000303125
371,-0.0002125
372,-0.00010859375
373,-8.59375e-06
374,5.46875e-06
375,-0.00025234375
376,-0.00058515625
377,-0.00053046875
378,-0.0003203125
379,-0.00013359375
380,3.125e-06
381,-0.000146875
382,-0.00030625
383,-0.000103125
384,-0.00020234375
385,0.00013828125
386,0.00019921875
387,8.28125e-05
388,0.0001953125
389,-0.00018046875
390,-0.00019609375
391,-0.0002875
392,-0.00038359375
393,0.00019140625
394,0.00016171875
395,-0.0001015625
396,-1.5625e-06
397,-0.0001984375
398,-6.171875e-05
399,0.0002
400,0.00010859375
401,0.0003
402,5.78125e-05
403,-2.22346149e-20
404,-3.90625e-06
405,-0.00011953125
406,-0.0003078125
407,-0.00030859375
408,-0.00039609375
409,-0.00016875
410,4.140625e-05
411,9.140625e-05
412,-3.828125e-05
413,-0.00024609375
414,-0.00040625
415,-0.00028515625
416,-0.00032421875
417,-0.00040625
418,-0.0003875
419,-0.0002765625
420,-3.671875e-05
421,9.609375e-05
422,0.00013515625
423,0.0002890625
424,8.90625e-05
425,0.0003015625
426,0.0001671875
427,-9.6875e-05
428,-0.0003046875
429,-0.00010625
430,0.000134375
431,0.0003078125
432,-3.125e-05
433,-0.0001046875
434,-7.8125e-07
435,-0.00017109375
436,-0.00021484375
437,1.5625e-06
438,-0.00018828125
439,-6.25e-05
440,0.0001859375
441,0.00024609375
442,-3.515625e-05
443,-0.000240625
444,2.1875e-05
445,0.0002234375
446,0.00011484375
447,7.265625e-05
448,-0.000353125
449,-0.000234375
450,0.000328125
451,0.0006265625
452,0.0003125
453,0.0003421875
454,-0.00036953125
455,-0.0006140625
456,-0.00050546875
457,-0.0004125
458,-0.00020390625
459,-1.5625e-06
460,3.90625e-06
461,0.0002046875
462,-0.00010390625
463,-0.0001078125
464,0.00030625
465,0.0001015625
466,-0.000190625
467,0.000203125
468,0.0001046875
469,0.00040390625
470,0.00016328125
471,-0.00021796875
472,-0.0001390625
473,8.4375e-05
474,-0.00022578125
475,-9.296875e-05
476,-7.265625e-05
477,0.00010234375
478,-3.4375e-05
479,-0.00010546875
480,-7.578125e-05
481,-1.328125e-05
482,-0.000259375
483,-0.00027890625
484,7.421875e-05
